Species,DBH,Colony,Foraged,Distance,succession
Abarema_macradenia,13,4,0,47.72762408,n
Abarema_macradenia,13,8,0,17.6514492,n
Abarema_macradenia,13,4,0,17.6514492,n
Abarema_macradenia,13,8,0,40.63196192,n
Abarema_macradenia,13,8,0,22.33832255,n
Abarema_macradenia,13,4,0,22.33832255,n
Abarema_macradenia,15.5,5,0,40.79278858,n
Abarema_macradenia,15.5,5,0,19.09289616,n
Abarema_macradenia,15.5,5,0,18.21085966,n
Abarema_macradenia,13,8,0,47.72762408,n
Abarema_macradenia,13,4,0,40.63196192,n
Abarema_macradenia,15.5,5,0,22.93147359,n
Aegiphila_falcata,4,7,0,24.1524181,n
Aegiphila_falcata,4,7,0,17.99133473,n
Aegiphila_falcata,4,7,0,17.57327373,n
Aegiphila_falcata,4,7,0,11.80482622,n
Aegiphila_falcata,8.3,1,1,7.191975977,n
Alchornea_costaricensis,54,8,0,34.37773304,c
Alchornea_costaricensis,61.5,8,0,37.16535994,c
Alchornea_costaricensis,54,4,1,53.7172086,c
Alchornea_costaricensis,54,8,0,4.473351857,c
Alchornea_costaricensis,31.5,9,0,40.03153898,c
Alchornea_costaricensis,93.5,4,1,61.13413531,c
Alchornea_costaricensis,93.5,4,1,62.77287001,c
Alchornea_costaricensis,61.5,8,0,32.15042924,c
Alchornea_costaricensis,54,8,0,60.43985522,c
Alchornea_costaricensis,54,8,0,14.16646368,c
Alchornea_costaricensis,98.5,4,1,45.56052019,c
Alchornea_costaricensis,93.5,8,1,61.13413531,c
Alchornea_costaricensis,61.5,4,0,19.38287904,c
Alchornea_costaricensis,31.5,9,0,34.42953373,c
Alchornea_costaricensis,61.5,4,0,37.16535994,c
Alchornea_costaricensis,61.5,8,0,19.38287904,c
Alchornea_costaricensis,98.5,8,0,58.76722292,c
Alchornea_costaricensis,61.5,4,0,32.15042924,c
Alchornea_costaricensis,93.5,8,1,62.77287001,c
Alchornea_sp,6.2,7,0,23.88246265,n
Alchornea_sp,6.2,7,0,14.09592078,n
Alchornea_sp,6.2,7,0,14.5983047,n
Alchornea_sp,6.2,7,0,12.79854495,n
Alchornea_sp,6.2,7,0,29.62966285,n
Alchornea_sp,6.2,7,0,43.47608538,n
Alchornea_sp,6.2,7,0,12.02018549,n
